frame_id,raw_pixel_x,raw_pixel_y,delta_px_per_frame
16,536.1,1598.7,0.0
17,536.1,1598.7,0.0
18,536.1,1598.7,0.0
19,536.1,1598.7,0.0
20,536.2,1598.7,0.0
21,536.2,1598.7,0.0
22,536.2,1598.7,0.0
23,536.2,1598.7,0.0
24,536.4,1598.7,0.2
25,536.6,1598.6,0.2
26,536.7,1598.6,0.1
27,536.8,1598.5,0.1
28,536.9,1598.5,0.1
29,536.9,1598.4,0.1
30,537.0,1598.4,0.1
31,537.0,1598.3,0.0
32,537.0,1598.0,0.3
33,537.0,1597.9,0.2
34,537.0,1597.8,0.1
35,537.0,1597.7,0.1
36,537.0,1597.7,0.0
37,537.0,1597.7,0.0
38,537.0,1597.6,0.0
39,537.0,1597.6,0.0
40,537.0,1597.6,0.0
41,537.0,1597.8,0.2
42,536.9,1597.8,0.1
43,536.9,1597.9,0.1
44,536.8,1597.9,0.0
45,536.9,1597.8,0.1
46,537.1,1597.8,0.1
47,537.2,1597.7,0.1
48,537.4,1597.8,0.3
49,537.8,1598.0,0.5
50,516.6,1602.0,21.6
51,500.7,1605.0,16.2
52,488.5,1616.3,16.6
53,479.4,1624.7,12.4
54,478.8,1618.0,6.7
55,478.4,1613.0,5.0
56,478.0,1609.3,3.8
57,478.6,1593.9,15.4
58,479.0,1582.3,11.5
59,469.3,1569.3,16.3
60,459.5,1553.4,18.6
61,448.0,1537.2,19.8
62,439.4,1525.1,14.9
63,418.1,1504.6,29.6
64,410.0,1488.9,17.6
65,401.8,1481.2,11.3
66,395.6,1475.4,8.5
67,376.2,1461.6,23.8
68,361.6,1451.2,17.9
69,343.2,1427.6,29.9
70,329.9,1406.7,24.8
71,319.9,1386.5,22.5
72,316.7,1371.2,15.7
73,313.0,1358.9,12.8
74,310.8,1347.8,11.3
75,311.6,1342.3,5.5
76,308.2,1337.5,5.9
77,304.9,1332.6,5.9
78,301.9,1328.5,5.1
79,304.9,1325.6,4.2
80,307.7,1323.2,3.7
81,304.0,1320.2,4.8
82,301.3,1317.9,3.6
83,299.2,1316.1,2.7
84,301.7,1318.1,3.1
85,299.0,1318.1,2.7
86,299.2,1323.1,5.0
87,299.7,1324.0,1.1
88,300.0,1325.0,1.0
89,296.8,1324.5,3.3
90,294.7,1324.0,2.1
91,293.1,1323.7,1.6
92,291.9,1323.4,1.2
93,290.9,1323.5,1.0
94,290.2,1323.5,0.7
95,289.6,1323.5,0.5
96,289.2,1323.5,0.4
97,288.9,1323.5,0.3
98,288.7,1323.5,0.2
99,288.5,1323.6,0.2
100,288.4,1323.6,0.1
101,288.3,1323.6,0.1
102,288.3,1323.6,0.0
103,288.3,1323.6,0.0
104,288.3,1323.6,0.0
105,288.3,1323.6,0.0
106,288.3,1323.6,0.0
107,288.3,1323.6,0.0
108,288.3,1323.6,0.0
109,288.3,1323.6,0.0
159,300.4,1364.9,0.0
160,309.6,1395.9,32.3
161,316.4,1419.2,24.3
162,321.6,1436.7,18.2
163,327.4,1462.2,26.2
164,331.8,1481.4,19.7
165,335.1,1495.8,14.8
166,339.6,1516.1,20.8
167,342.9,1531.3,15.6
168,343.7,1551.5,20.2
169,344.3,1566.6,15.1
170,344.7,1578.0,11.4
171,345.0,1586.5,8.5
172,345.3,1592.9,6.4
173,345.5,1597.6,4.8
174,345.6,1601.2,3.6
175,345.7,1603.9,2.7
176,345.8,1605.9,2.0
177,345.8,1605.9,0.0
178,353.2,1616.4,12.8
179,358.7,1624.2,9.6
180,362.9,1630.1,7.2
181,367.1,1635.1,6.5
182,370.6,1639.0,5.2
183,373.5,1641.9,4.1
184,375.9,1644.3,3.4
185,378.0,1646.2,2.8
186,379.7,1647.6,2.2
187,381.0,1648.7,1.7
188,382.2,1649.4,1.3
189,383.0,1649.9,1.0
190,383.6,1650.3,0.7
191,384.1,1650.5,0.6
192,384.5,1650.8,0.4
193,384.7,1650.9,0.3
194,385.1,1650.8,0.3
195,385.3,1650.8,0.3
196,385.5,1650.7,0.2
197,385.6,1650.7,0.1
198,385.6,1650.6,0.1
199,385.5,1650.5,0.1
200,385.5,1650.5,0.1
201,385.4,1650.4,0.1
202,385.4,1650.4,0.0
203,385.4,1650.4,0.0
204,385.4,1650.3,0.0
205,385.4,1650.3,0.0
206,385.4,1650.4,0.1
207,385.4,1650.5,0.1
208,385.4,1650.5,0.0
209,385.4,1650.5,0.0
210,385.4,1650.5,0.0
211,385.5,1650.6,0.0
212,385.5,1650.6,0.0
213,385.5,1650.6,0.0
214,385.5,1650.6,0.0
215,385.5,1650.6,0.0
216,385.5,1650.6,0.0
217,385.5,1650.6,0.0
218,385.5,1650.6,0.0
219,385.5,1650.6,0.0
220,385.5,1650.6,0.0
221,385.5,1650.6,0.0
222,385.5,1650.6,0.0
238,385.5,1650.4,0.0
239,385.6,1650.3,0.1
240,385.6,1650.1,0.2
241,385.7,1649.9,0.2
242,385.7,1649.8,0.1
243,385.7,1649.7,0.1
244,385.7,1649.6,0.1
245,385.7,1649.6,0.1
246,385.7,1649.5,0.0
247,385.7,1649.5,0.0
248,385.7,1649.5,0.0
249,385.7,1649.5,0.0
250,385.7,1649.5,0.0
251,385.7,1649.5,0.0
252,385.7,1649.5,0.0
253,385.7,1649.5,0.0
